iter	Logloss
0	0.6819652535
1	0.6726152672
2	0.6629304848
3	0.6551010161
4	0.6473563516
5	0.6398101476
6	0.6329394687
7	0.6257090677
8	0.6183094717
9	0.6126117268
10	0.6061867509
11	0.6013694144
12	0.5965413047
13	0.592371769
14	0.5884814399
15	0.5858935975
16	0.5838796421
17	0.580464117
18	0.5765699626
19	0.5746999039
20	0.5723964726
21	0.5693117616
22	0.5669764497
23	0.5654566139
24	0.564242604
25	0.5616523643
26	0.5604334998
27	0.5587940337
28	0.55713099
29	0.5558586309
30	0.5547835239
31	0.5528357968
32	0.5517619326
33	0.5503548099
34	0.5495907532
35	0.548028196
36	0.5468845307
37	0.5455107276
38	0.544998058
39	0.5437642995
40	0.542859557
41	0.5420364525
42	0.5412571123
43	0.5405405423
44	0.5396636218
45	0.5389861527
46	0.5384809566
47	0.5380526899
48	0.5373114848
49	0.5365697924
50	0.5363161523
51	0.5356149975
52	0.5353891398
53	0.5349226415
54	0.5343405415
55	0.5341516198
56	0.5338032313
57	0.5334605204
58	0.5330069726
59	0.5326789301
60	0.532536828
61	0.5324023694
62	0.5319897989
63	0.5312978584
64	0.5306373415
65	0.5304522993
66	0.529914469
67	0.5295104765
68	0.5290733342
69	0.5287034618
70	0.5285362196
71	0.5284202111
72	0.5283117475
73	0.5283030911
74	0.5280530212
75	0.5279289425
76	0.5277787934
77	0.5275106532
78	0.5273742405
79	0.5271224784
80	0.5270325623
81	0.5269841858
82	0.5268563829
83	0.5267808836
84	0.5265905294
85	0.5265381924
86	0.526455073
87	0.5264152705
88	0.5261903736
89	0.5260865308
90	0.5259260364
91	0.5257757399
92	0.525616028
93	0.5255591616
94	0.5255079797
95	0.5251987216
96	0.5249887554
97	0.5249178831
98	0.5248823937
99	0.5247452409
100	0.5246345369
101	0.5245784268
102	0.5245168889
103	0.5243496665
104	0.5243390457
105	0.5241924576
106	0.5241657915
107	0.5241005542
108	0.524033514
109	0.5240036732
110	0.5238187511
111	0.5237463921
112	0.5236368679
113	0.5235294407
114	0.5233725356
115	0.5233490967
116	0.523279514
117	0.523255295
118	0.5231899918
119	0.5231684379
120	0.5230720925
121	0.5229563988
122	0.5228790456
123	0.5227281819
124	0.5224894041
125	0.5224525371
126	0.5223162417
127	0.5222227256
128	0.5221436001
129	0.5220139015
130	0.5217826401
131	0.5217663707
132	0.5217386013
133	0.5216497723
134	0.5214792553
135	0.5214147868
136	0.5213104109
137	0.521279914
138	0.5212704956
139	0.5211973819
140	0.5211010291
141	0.5209460336
142	0.5208867959
143	0.520845389
144	0.5207754698
145	0.5207424285
146	0.5207182304
147	0.5207121509
148	0.5206604801
149	0.5205852932
150	0.5205782412
151	0.5205071457
152	0.5203226063
153	0.5202441479
154	0.5201776654
155	0.5200797567
156	0.5200728415
157	0.5199875906
158	0.5199872451
159	0.5199757675
160	0.5198930495
161	0.5198354147
162	0.5196771242
163	0.5196099311
164	0.5195640343
165	0.5194868378
166	0.5194121435
167	0.5193611617
168	0.5193491125
169	0.5192429376
170	0.5191715815
171	0.5191101845
172	0.5190144834
173	0.5189004284
174	0.5188808486
175	0.5187661552
176	0.5187655769
177	0.518723266
178	0.5186796696
179	0.5185748844
180	0.5185677351
181	0.5185665162
182	0.5184230204
183	0.5183777499
184	0.5183530737
185	0.5182976121
186	0.5182359321
187	0.5181775311
188	0.5181739427
189	0.5181737472
190	0.5181728126
191	0.5181614222
192	0.5181403753
193	0.5181270777
194	0.5181268002
195	0.5180994212
196	0.5180719173
197	0.5180224276
198	0.5179771291
199	0.5179130189
200	0.5178826234
201	0.5178785166
202	0.5178194205
203	0.5177730831
204	0.5177080906
205	0.5176899547
206	0.5175969052
207	0.5175358294
208	0.5174887608
209	0.517449688
210	0.517438459
211	0.5174138763
212	0.5174020298
213	0.517402025
214	0.5173698979
215	0.5173431539
216	0.5173406106
217	0.5173088049
218	0.5172777626
219	0.5172106983
220	0.5172103905
221	0.5171894846
222	0.5171847625
223	0.5171480169
224	0.5170624393
225	0.5170369966
226	0.5170004852
227	0.516927814
228	0.5169236864
229	0.5169197078
230	0.5168435272
231	0.5167503127
232	0.5167353537
233	0.516698702
234	0.5166673364
235	0.5165940635
236	0.5165559908
237	0.5165260792
238	0.5165062675
239	0.5164503204
240	0.5163045099
241	0.5162194411
242	0.5162194405
243	0.5161674195
244	0.5160534699
245	0.5160534692
246	0.5160067865
247	0.5159533519
248	0.5159071616
249	0.5158556341
250	0.5158294611
251	0.5157862653
252	0.5156998374
253	0.5156664864
254	0.5156377719
255	0.51558824
256	0.515563595
257	0.5155601942
258	0.5155382256
259	0.5155371341
260	0.5155330997
261	0.51541631
262	0.5153788337
263	0.5153663976
264	0.5153642217
265	0.515353097
266	0.5152956241
267	0.5152635325
268	0.5152535947
269	0.5152183219
270	0.515180476
271	0.5151749093
272	0.5151602418
273	0.515140314
274	0.5150373238
275	0.5150358164
276	0.5150266895
277	0.5149938684
278	0.514915791
279	0.5148599329
280	0.514800735
281	0.5146852187
282	0.5146620416
283	0.5146291542
284	0.5146265414
285	0.5145927219
286	0.5145905865
287	0.5145820535
288	0.5145675075
289	0.5145362673
290	0.5144954848
291	0.5144423838
292	0.5144263841
293	0.5144197631
294	0.5143876026
295	0.5143853388
296	0.5143660697
297	0.5143424394
298	0.5142987168
299	0.5141312225
300	0.5140785289
301	0.5140598051
302	0.5139527357
303	0.5139451702
304	0.513940448
305	0.5139074103
306	0.5138659445
307	0.513852309
308	0.5138375567
309	0.5138192971
310	0.513773225
311	0.5137732249
312	0.5137367813
313	0.5137180824
314	0.5136815898
315	0.5136066964
316	0.513602507
317	0.5134981353
318	0.5134472964
319	0.5134195313
320	0.5132474901
321	0.5131825506
322	0.5131600216
323	0.513099104
324	0.5130496741
325	0.5130152428
326	0.5130046892
327	0.5129580358
328	0.5129295519
329	0.512865427
330	0.5128485542
331	0.5128234897
332	0.5128193627
333	0.5128109044
334	0.5128109044
335	0.512755907
336	0.5127419592
337	0.5127227002
338	0.5126843759
339	0.5126367115
340	0.5126216777
341	0.5125994879
342	0.5125989997
343	0.5125895614
344	0.5125705529
345	0.5125092003
346	0.5124943068
347	0.5124593393
348	0.5124204834
349	0.5124046838
350	0.5123182957
351	0.5122117352
352	0.5121452454
353	0.5121286781
354	0.5121063885
355	0.5121027629
356	0.5120700269
357	0.5120035827
358	0.5119103187
359	0.51190712
360	0.511874253
361	0.5118497159
362	0.5118029343
363	0.5117709379
364	0.5117272538
365	0.5117190257
366	0.5117065716
367	0.511580216
368	0.5115749444
369	0.5115308956
370	0.5114981149
371	0.5114862451
372	0.5114479049
373	0.5113963123
374	0.5113633302
375	0.5113615405
376	0.5113428236
377	0.5112465973
378	0.5112164697
379	0.511163719
380	0.511065036
381	0.511040959
382	0.5109897618
383	0.5109206886
384	0.5108865691
385	0.5108421169
386	0.5107712887
387	0.5107274742
388	0.5107085485
389	0.5106467374
390	0.5106220971
391	0.5105630143
392	0.5105581003
393	0.5104984856
394	0.5104843053
395	0.5104699463
396	0.5104573461
397	0.5104306603
398	0.5104085922
399	0.5103995795
400	0.5102930754
401	0.5102885482
402	0.5102622641
403	0.5101854648
404	0.5101795403
405	0.510173635
406	0.5101436728
407	0.5101258588
408	0.5100492995
409	0.5100341405
410	0.5100301762
411	0.510017982
412	0.5099895318
413	0.509975111
414	0.5099746659
415	0.5099581771
416	0.5099420166
417	0.509888007
418	0.50976633
419	0.5097239988
420	0.5096919492
421	0.5096318393
422	0.5096212347
423	0.5095596812
424	0.5095551658
425	0.5094683274
426	0.5094485075
427	0.509433333
428	0.5093976351
429	0.5093453863
430	0.5093302393
431	0.5092979703
432	0.5092891385
433	0.5091871403
434	0.5091434361
435	0.5091330041
436	0.5091006112
437	0.5090845479
438	0.5090133792
439	0.5089831318
440	0.5089253216
441	0.5088660496
442	0.5088587586
443	0.5088349928
444	0.5087577735
445	0.5087030616
446	0.5086552375
447	0.5085899927
448	0.5085727423
449	0.5085324297
450	0.5084673382
451	0.5084392053
452	0.5084305961
453	0.5084254087
454	0.5083640328
455	0.5083537927
456	0.5082921599
457	0.5082104381
458	0.5081876458
459	0.5081839256
460	0.5081668398
461	0.5081460396
462	0.5081344863
463	0.5080692418
464	0.5080303082
465	0.5080141596
466	0.5079937199
467	0.5079153276
468	0.5078798853
469	0.5077188076
470	0.5077120795
471	0.5076471668
472	0.5076231412
473	0.5075970568
474	0.5075825408
475	0.5075567724
476	0.5075444032
477	0.5075309441
478	0.5075198108
479	0.5074716948
480	0.507433845
481	0.507385601
482	0.5073582761
483	0.5073111255
484	0.5072524161
485	0.5072474207
486	0.507226254
487	0.5071854459
488	0.5071685674
489	0.507126912
490	0.5071153228
491	0.5070885956
492	0.5070626533
493	0.5070458797
494	0.5070355545
495	0.5069908018
496	0.5069561123
497	0.5069271965
498	0.5069233306
499	0.5069129819
500	0.5068820653
501	0.5068772369
502	0.5068504666
503	0.5068271074
504	0.5067631902
505	0.5067223154
506	0.506709054
507	0.5066612645
508	0.5066395109
509	0.5066091868
510	0.5065727479
511	0.5065472233
512	0.5065107942
513	0.5064978681
514	0.5064846081
515	0.5064664465
516	0.5064009965
517	0.5063984945
518	0.5063544846
519	0.5062821067
520	0.5062083315
521	0.5061160504
522	0.5061068461
523	0.5060429715
524	0.5060212651
525	0.5059219889
526	0.5058626863
527	0.5058521854
528	0.5057406734
529	0.5057207377
530	0.5056901607
531	0.5056620932
532	0.505619618
533	0.5055431954
534	0.5055032141
535	0.5054913803
536	0.5054096105
537	0.5053966046
538	0.505369217
539	0.5053543735
540	0.5053488615
541	0.5053222055
542	0.5052587274
543	0.505251318
544	0.505241096
545	0.5052218139
546	0.5051724625
547	0.5051566797
548	0.5050056485
549	0.5049030822
550	0.5048621023
551	0.5048212612
552	0.5047285262
553	0.5047053467
554	0.5046831859
555	0.5046343609
556	0.5046116268
557	0.5045820642
558	0.504516846
559	0.5044628507
560	0.5044304527
561	0.5043842585
562	0.504364574
563	0.5043493459
564	0.5043071853
565	0.5042837255
566	0.5042634979
567	0.5042222812
568	0.5041820262
569	0.5041406438
570	0.5041141224
571	0.5040664072
572	0.5040476511
573	0.5039861347
574	0.5039681803
575	0.503958079
576	0.5039462329
577	0.5039155838
578	0.5038974751
579	0.5038677474
580	0.5038384554
581	0.5038182019
582	0.5037769154
583	0.5037512891
584	0.5037390547
585	0.5036946254
586	0.5036617026
587	0.5036127933
588	0.5035881965
589	0.5034935476
590	0.5034298372
591	0.503405113
592	0.5033570803
593	0.5033337682
594	0.5033272016
595	0.5033158727
596	0.5033039102
597	0.5032860183
598	0.5032642137
599	0.5032562496
600	0.5032538399
601	0.5032403367
602	0.5032362826
603	0.5031956181
604	0.5031882862
605	0.5031672206
606	0.5031304588
607	0.5031206185
608	0.5031043554
609	0.5030920137
610	0.5030785238
611	0.5030151588
612	0.5030080738
613	0.5029985341
614	0.5029834521
615	0.5029438029
616	0.5029357542
617	0.502913319
618	0.5028616013
619	0.5028490498
620	0.5028140609
621	0.5028040742
622	0.502781011
623	0.5027243097
624	0.5027117435
625	0.502701566
626	0.5026903881
627	0.5026700142
628	0.5026303064
629	0.5025760981
630	0.5025295549
631	0.5025074458
632	0.5024832255
633	0.5023807336
634	0.5023354666
635	0.5023267773
636	0.5023107948
637	0.5022710488
638	0.5022479994
639	0.5022092555
640	0.5021883728
641	0.5021819453
642	0.5021573935
643	0.5021379907
644	0.5021279448
645	0.5020984755
646	0.5020881658
647	0.5020859275
648	0.5020457521
649	0.5020290057
650	0.5020104477
651	0.5019733093
652	0.5019529286
653	0.5018899287
654	0.5018697168
655	0.5018500871
656	0.5018055692
657	0.5017932245
658	0.5017727177
659	0.5017506165
660	0.5016993707
661	0.5016965488
662	0.5016529008
663	0.5016155255
664	0.5015976089
665	0.5015899344
666	0.5015687188
667	0.5015470722
668	0.5015252217
669	0.5015144431
670	0.5014807888
671	0.5014062906
672	0.5013639866
673	0.5013514968
674	0.5012793661
675	0.5012241367
676	0.5012217128
677	0.5012032329
678	0.5011927606
679	0.5011299643
680	0.5011145528
681	0.5011086216
682	0.501105184
683	0.5010931624
684	0.5010717893
685	0.5010405396
686	0.5010237683
687	0.500963077
688	0.5009192787
689	0.5008608309
690	0.5007923331
691	0.5007749358
692	0.500728968
693	0.5007172608
694	0.5006846023
695	0.500677033
696	0.5006223371
697	0.5006199415
698	0.5006174503
699	0.5005900608
700	0.5005753714
701	0.5005606165
702	0.500509597
703	0.5004398121
704	0.5003526589
705	0.5003231949
706	0.5003121053
707	0.5003078078
708	0.5002717603
709	0.5002424483
710	0.5001957844
711	0.5001681917
712	0.5001621577
713	0.5001601626
714	0.5001189062
715	0.5000780287
716	0.5000250398
717	0.5000183531
718	0.5000102302
719	0.499980226
720	0.4999188807
721	0.4998886145
722	0.4998716353
723	0.4998145573
724	0.4997923677
725	0.4997754235
726	0.4997711197
727	0.4997451292
728	0.4997302437
729	0.499711958
730	0.4996850032
731	0.4996801674
732	0.4996627597
733	0.4996516933
734	0.4996051683
735	0.4995883601
736	0.4995698998
737	0.4995400852
738	0.4995234553
739	0.4994988441
740	0.4994675652
741	0.4994294999
742	0.4994127832
743	0.4993604473
744	0.4993592711
745	0.4993294187
746	0.4992888684
747	0.4992732277
748	0.4992678141
749	0.4991989589
750	0.4991377951
751	0.499125594
752	0.4990838531
753	0.4990715284
754	0.4989755864
755	0.4989426403
756	0.4988973456
757	0.4988662311
758	0.4988410793
759	0.4988043657
760	0.498743372
761	0.4987076483
762	0.4986887896
763	0.4986400113
764	0.4986326096
765	0.4985909486
766	0.4985891604
767	0.4985441281
768	0.4985284287
769	0.4984714295
770	0.4984413122
771	0.4984098356
772	0.49839486
773	0.4983764565
774	0.4983116718
775	0.4982996535
776	0.4982894066
777	0.4982744131
778	0.4982501003
779	0.4982496207
780	0.4982402079
781	0.4982239049
782	0.4982059148
783	0.4982032431
784	0.4981987335
785	0.4981879527
786	0.4981609229
787	0.4981027968
788	0.4980905111
789	0.4980888615
790	0.4980797886
791	0.4980535655
792	0.4979916756
793	0.4979486631
794	0.4978523333
795	0.4977579555
796	0.4977529042
797	0.4977509002
798	0.4977092521
799	0.4976691612
800	0.4976029503
801	0.49756806
802	0.4975389478
803	0.4975054555
804	0.4974517183
805	0.4974324484
806	0.4974237816
807	0.4974103871
808	0.4973496898
809	0.4972875495
810	0.497272525
811	0.4972443474
812	0.4972301304
813	0.4972102727
814	0.4971722403
815	0.4971354751
816	0.4971310148
