iter	Passed	Remaining
0	223	223042
1	277	138335
2	326	108509
3	370	92136
4	410	81721
5	461	76399
6	516	73275
7	558	69210
8	600	66074
9	642	63646
10	696	62628
11	749	61724
12	792	60159
13	833	58731
14	879	57767
15	947	58255
16	970	56098
17	1019	55626
18	1070	55252
19	1096	53729
20	1149	53599
21	1222	54324
22	1282	54478
23	1315	53494
24	1335	52095
25	1399	52435
26	1430	51535
27	1478	51327
28	1525	51065
29	1562	50523
30	1602	50081
31	1675	50678
32	1727	50611
33	1781	50608
34	1810	49920
35	1880	50365
36	1927	50177
37	1975	50006
38	1994	49152
39	2047	49136
40	2106	49275
41	2155	49173
42	2207	49120
43	2256	49030
44	2322	49292
45	2370	49170
46	2415	48971
47	2464	48885
48	2529	49102
49	2576	48950
50	2595	48290
51	2642	48173
52	2667	47654
53	2735	47913
54	2778	47741
55	2795	47129
56	2846	47085
57	2917	47387
58	2971	47396
59	3015	47236
60	3040	46797
61	3059	46289
62	3111	46284
63	3181	46526
64	3243	46660
65	3298	46682
66	3348	46625
67	3396	46549
68	3451	46567
69	3494	46426
70	3534	46245
71	3570	46016
72	3601	45740
73	3618	45276
74	3676	45343
75	3722	45252
76	3766	45151
77	3816	45118
78	3871	45136
79	3918	45063
80	3965	44989
81	3990	44672
82	4036	44600
83	4078	44474
84	4127	44432
85	4149	44095
86	4171	43781
87	4188	43410
88	4231	43314
89	4288	43358
90	4349	43450
91	4389	43326
92	4427	43180
93	4453	42926
94	4493	42806
95	4560	42949
96	4606	42881
97	4650	42801
98	4690	42689
99	4752	42774
100	4801	42737
101	4847	42675
102	4890	42589
103	4940	42565
104	4965	42322
105	5028	42413
106	5073	42344
107	5115	42253
108	5157	42161
109	5183	41941
110	5272	42230
111	5324	42212
112	5386	42280
113	5463	42464
114	5517	42460
115	5558	42356
116	5596	42239
117	5635	42124
118	5717	42329
119	5759	42233
120	5821	42287
121	5874	42276
122	5920	42210
123	5966	42150
124	6010	42075
125	6061	42045
126	6134	42169
127	6199	42232
128	6258	42254
129	6311	42235
130	6362	42206
131	6399	42081
132	6434	41944
133	6481	41886
134	6543	41929
135	6588	41854
136	6632	41780
137	6681	41732
138	6723	41644
139	6771	41595
140	6819	41545
141	6867	41496
142	6908	41403
143	6947	41299
144	6990	41218
145	7031	41128
146	7076	41064
147	7092	40829
148	7134	40746
149	7180	40689
150	7216	40572
151	7268	40552
152	7345	40662
153	7382	40554
154	7423	40471
155	7459	40357
156	7480	40168
157	7522	40088
158	7537	39866
159	7572	39756
160	7619	39707
161	7664	39648
162	7711	39600
163	7757	39545
164	7796	39452
165	7835	39367
166	7875	39282
167	7917	39210
168	7963	39158
169	8007	39097
170	8056	39056
171	8103	39011
172	8152	38973
173	8195	38905
174	8238	38837
175	8287	38799
176	8308	38630
177	8354	38579
178	8401	38534
179	8449	38491
180	8477	38359
181	8499	38198
182	8540	38131
183	8586	38080
184	8632	38030
185	8680	37986
186	8723	37928
